mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200001,SCAP,D,6
200001,SCAR,D,691
200001,SCAR,I,139
200001,SCBA,D,382
200001,SCCC,D,82
200001,SCCF,D,397
200001,SCCH,D,368
200001,SCCI,D,777
200001,SCCI,I,35
200001,SCCY,D,315
200001,SCCY,I,2
200001,SCDA,D,1644
200001,SCDA,I,103
200001,SCEL,D,3460
200001,SCEL,I,3186
200001,SCES,D,48
200001,SCFA,D,1625
200001,SCFA,I,3
200001,SCFM,D,162
200001,SCFT,D,8
200001,SCGE,D,236
200001,SCGZ,D,53
200001,SCGZ,I,1
200001,SCHA,D,406
200001,SCHA,I,2
200001,SCHR,D,58
200001,SCIC,D,759
200001,SCIE,D,1600
200001,SCIE,I,15
200001,SCIP,D,67
200001,SCIP,I,25
200001,SCJO,D,1167
200001,SCLC,D,1092
200001,SCLL,D,16
200001,SCNT,D,20
200001,SCRD,D,1344
200001,SCSE,D,969
200001,SCSE,I,18
200001,SCSR,D,64
200001,SCTB,D,5716
200001,SCTC,D,1707
200001,SCTC,I,17
200001,SCTE,D,2279
200001,SCTE,I,54
200001,SCTI,D,1781
200001,SCTN,D,320
200001,SCVD,D,8
200001,SCVM,D,488
200002,SCAP,D,2
200002,SCAR,D,604
200002,SCAR,I,117
200002,SCBA,D,404
200002,SCBA,I,2
200002,SCCC,D,67
200002,SCCF,D,515
200002,SCCH,D,301
200002,SCCI,D,818
200002,SCCI,I,27
200002,SCCY,D,400
200002,SCDA,D,1572
200002,SCDA,I,103
200002,SCEL,D,3144
200002,SCEL,I,2978
200002,SCES,D,44
200002,SCFA,D,1574
200002,SCFA,I,5
200002,SCFM,D,142
200002,SCFT,D,33
200002,SCGE,D,117
200002,SCGE,I,25
200002,SCGZ,D,66
200002,SCGZ,I,2
200002,SCHA,D,342
200002,SCHA,I,2
200002,SCHR,D,50
200002,SCIC,D,494
200002,SCIE,D,1080
200002,SCIE,I,11
200002,SCIP,D,62
200002,SCIP,I,27
200002,SCJO,D,672
200002,SCLC,D,537
200002,SCLL,D,14
200002,SCNT,D,82
200002,SCRD,D,599
200002,SCRM,D,31
200002,SCRM,I,5
200002,SCSE,D,957
200002,SCSE,I,12
200002,SCSR,D,44
200002,SCTB,D,4943
200002,SCTC,D,1429
200002,SCTC,I,16
200002,SCTE,D,2128
200002,SCTE,I,57
200002,SCTI,D,5
200002,SCTN,D,280
200002,SCVM,D,368
200002,SCVM,I,4
200003,SCAC,D,2
200003,SCAP,D,23
200003,SCAR,D,622
200003,SCAR,I,152
200003,SCBA,D,359
200003,SCCC,D,78
200003,SCCF,D,414
200003,SCCH,D,292
200003,SCCI,D,679
200003,SCCI,I,41
200003,SCCY,D,382
200003,SCDA,D,1523
200003,SCDA,I,77
200003,SCEL,D,4080
200003,SCEL,I,4030
200003,SCES,D,47
200003,SCFA,D,1579
200003,SCFA,I,7
200003,SCFM,D,182
200003,SCFT,D,22
200003,SCGE,D,198
200003,SCGZ,D,50
200003,SCGZ,I,4
200003,SCHA,D,411
200003,SCHR,D,57
200003,SCIC,D,401
200003,SCIE,D,1253
200003,SCIE,I,12
200003,SCIP,D,27
200003,SCIP,I,20
200003,SCJO,D,555
200003,SCJO,I,2
200003,SCLC,D,877
